Área;Año;Grupo de edad;Sexo;Casos
Puente Aranda;2015;60 a 64;Mujer;0
Puente Aranda;2015;65 a 69;Mujer;0
Puente Aranda;2015;70 a 74;Mujer;0
Puente Aranda;2015;75 a 79;Mujer;0
Puente Aranda;2015;80 y más;Mujer;0
Puente Aranda;2015;Todos los grupos;Mujer;3
La Candelaria;2015;05 a 09;Hombre;0
La Candelaria;2015;10 a 14;Hombre;0
La Candelaria;2015;15 a 17;Hombre;0
La Candelaria;2015;18 a 19;Hombre;0
La Candelaria;2015;20 a 24;Hombre;1
La Candelaria;2015;25 a 29;Hombre;0
La Candelaria;2015;30 a 34;Hombre;0
La Candelaria;2015;35 a 39;Hombre;0
La Candelaria;2015;40 a 44;Hombre;0
La Candelaria;2015;45 a 49;Hombre;0
La Candelaria;2015;50 a 54;Hombre;0
La Candelaria;2015;55 a 59;Hombre;0
La Candelaria;2015;60 a 64;Hombre;0
La Candelaria;2015;65 a 69;Hombre;0
La Candelaria;2015;70 a 74;Hombre;0
La Candelaria;2015;75 a 79;Hombre;0
La Candelaria;2015;80 y más;Hombre;0
La Candelaria;2015;Todos los grupos;Hombre;1
La Candelaria;2015;05 a 09;Mujer;0
La Candelaria;2015;10 a 14;Mujer;0
La Candelaria;2015;15 a 17;Mujer;0
La Candelaria;2015;18 a 19;Mujer;0
La Candelaria;2015;20 a 24;Mujer;0
La Candelaria;2015;25 a 29;Mujer;0
La Candelaria;2015;30 a 34;Mujer;0
La Candelaria;2015;35 a 39;Mujer;0
La Candelaria;2015;40 a 44;Mujer;0
La Candelaria;2015;45 a 49;Mujer;0
La Candelaria;2015;50 a 54;Mujer;0
La Candelaria;2015;55 a 59;Mujer;0
La Candelaria;2015;60 a 64;Mujer;0
La Candelaria;2015;65 a 69;Mujer;0
La Candelaria;2015;70 a 74;Mujer;0
La Candelaria;2015;75 a 79;Mujer;0
La Candelaria;2015;80 y más;Mujer;0
La Candelaria;2015;Todos los grupos;Mujer;0
